effective_date,bank_rate,repo,reverse_repo
05/12/25,5.5,5.25,
29/11/25,,,
01/11/25,,,
04/10/25,,,
06/09/25,,,
06/06/25,5.75,5.5,
09/04/25,6.25,6,
07/02/25,6.5,6.25,
28/12/24,,,
14/12/24,,,
08/02/23,6.75,6.5,
07/12/22,6.5,6.25,
30/09/22,6.15,5.9,
05/08/22,5.65,5.4,
08/06/22,5.15,4.9,
21/05/22,,,
04/05/22,4.65,4.4,
08/04/22,,,
22/05/21,,,
27/03/21,,,
22/05/20,4.25,4,3.35
17/04/20,,4.4,3.75
11/04/20,,,
28/03/20,,,
27/03/20,4.65,4.4,4
04/01/20,,,
12/10/19,,,
04/10/19,5.4,5.15,4.9
07/08/19,5.65,5.4,5.15
06/07/19,,,
06/06/19,6,5.75,5.5
13/04/19,,,
04/04/19,6.25,6,5.75
07/02/19,6.5,6.25,6
05/01/19,,,
01/08/18,6.75,6.5,6.25
06/06/18,6.5,6.25,6
14/10/17,,,
02/08/17,6.25,6,5.75
24/06/17,,,
06/04/17,6.5,,6
07/01/17,,,
04/10/16,6.75,6.25,5.75
01/10/16,,,
09/07/16,,,
05/04/16,7,6.5,6
02/04/16,,,
29/09/15,7.75,6.75,5.75
02/06/15,8.25,7.25,6.25
04/03/15,8.5,7.5,6.5
07/02/15,,,
15/01/15,8.75,7.75,6.75
09/08/14,,,
14/06/14,,,
28/01/14,9,8,7
29/10/13,8.75,7.75,6.75
07/10/13,9,,
20/09/13,9.5,7.5,6.5
15/07/13,10.25,,
03/05/13,8.25,7.25,6.25
19/03/13,8.5,7.5,6.5
09/02/13,,,
29/01/13,8.75,7.75,6.75
03/11/12,,,
22/09/12,,,
11/08/12,,,
17/04/12,9,8,7
10/03/12,,,
13/02/12,9.5,,
